#x			y			z			Error in z
0.0			0.0			2.60497385585605	0.000303019311133
0.090909090909091	0			0.993567341349836	0.000174750522125
0.166666666666667	0			0.859778160300229	0.000167431980333
0.230769230769231	0			0.795214320602805	0.000183590151504
0.285714285714286	0			0.758310798490812	0.000202079098808
0.333333333333333	0			0.73529624630667	0.000201330150921
0.375			0			0.721541664712608	0.000227099893849
0.411764705882353	0			0.712965101459199	0.000234666209464
0.444444444444444	0			0.707380819511778	0.000230965652915
0.473684210526316	0			0.705448810094636	0.000258949605029
0.5			0			0.70403710731068	0.000237274298564
0.			0.090909090909091	1.32881070870097	0.001251406771116
0.			0.166666666666667	1.02390139836418	0.00072738871564
0.			0.333333333333333	0.71184300552113	0.000365837588283
0.090909090909091	0.3125			0.319457352275136	0.000138055200419
0.166666666666667	0.294117647058823	0.288076237844033	0.000206234250596
0.230769230769231	0.277777777777778	0.275944957760261	0.0002585732097
0.285714285714286	0.263157894736842	0.27040031079497	0.000324566576068
0.333333333333333	0.25			0.269499896701726	0.00022099666676
0.375			0.238095238095238	0.269619525215082	0.000231691934951
0.411764705882353	0.227272727272727	0.27154927882344	0.000220890104621
0.444444444444444	0.217391304347826	0.274928364588329	0.00018697018057
0.473684210526316	0.208333333333333	0.278459042616288	0.000801436814729
0.5			0.2			0.280660283444015	0.000208299594278
0.			0.5			0.566113590389254	0.000493337199637
0.090909090909091	0.476190476190476	0.263043758818258	0.000110387769831
0.166666666666667	0.454545454545455	0.237671463024355	0.000122775692778
0.230769230769231	0.434782608695652	0.226425371150747	0.000159804269692
0.285714285714286	0.416666666666667	0.220895592874447	0.000181773708499
0.333333333333333	0.4			0.21947472703666	0.000451974277724
0.375			0.384615384615385	0.218022897451853	0.000240944298836
0.411764705882353	0.37037037037037	0.218941111902075	0.000201061500608
0.444444444444444	0.357142857142857	0.220734140125313	0.000192519603781
0.473684210526316	0.344827586206897	0.222760164548667	0.000314022400989
0.5			0.333333333333333	0.225431607947007	0.00028658335584
0.			0.666666666666667	0.482006936424309	0.000586307959228
0.090909090909091	0.645161290322581	0.232264941204433	0.000164490013671
0.166666666666667	0.625			0.20894309814104	0.000192609565514
0.230769230769231	0.606060606060606	0.197404984617225	0.000190496386588
0.285714285714286	0.588235294117647	0.191607493664815	0.00035158169878
0.333333333333333	0.571428571428571	0.188261434151175	0.000249604649154
0.375			0.555555555555556	0.186628272105903	0.000270316524808
0.411764705882353	0.54054054054054	0.186549451558854	0.000259953178871
0.444444444444444	0.526315789473684	0.186514995180015	0.0002324267236
0.473684210526316	0.512820512820513	0.187205821888348	0.000265697569401
0.5			0.5			0.188603516589452	0.000289633813824
0.			0.8			0.44067967052499	0.001593127012169
0.090909090909091	0.784313725490196	0.219673972969723	0.000306937364961
0.166666666666667	0.769230769230769	0.196670053906289	0.000221590010961
0.230769230769231	0.754716981132076	0.185694502327937	0.000464803180226
0.285714285714286	0.740740740740741	0.17874992939107	0.000408539991719
0.333333333333333	0.727272727272727	0.174558764469315	0.000360255507065
0.375			0.714285714285714	0.17207563114504	0.000480428405259
0.411764705882353	0.701754385964912	0.170938129901395	0.000384872729433
0.444444444444444	0.689655172413793	0.170132050889027	0.000431579734027
0.473684210526316	0.677966101694915	0.168703740462583	0.00048296229031
0.5			0.666666666666667	0.170175676572834	0.000310959936988
0.			0.857142857142857	0.422713552319331	0.002287762660214
0.090909090909091	0.845070422535211	0.218687893286813	0.0004739708107
0.166666666666667	0.833333333333333	0.195429363754212	0.000322998823531
0.230769230769231	0.821917808219178	0.183173368345868	0.000406077767439
0.285714285714286	0.810810810810811	0.175865044744118	0.000424791637564
0.333333333333333	0.8			0.170882199202081	0.00058171557909
0.375			0.789473684210526	0.169061190422921	0.000335739018802
0.411764705882353	0.779220779220779	0.166511194256653	0.000535265211326
0.444444444444444	0.769230769230769	0.165109175863453	0.000325526472374
0.473684210526316	0.759493670886076	0.165680049079112	0.000716495405285
0.5			0.75			0.163639400018552	0.000358960425097
0.			0.888888888888889	0.424975460070915	0.00367204485017
0.090909090909091	0.879120879120879	0.2176770049816		0.000649337934261
0.166666666666667	0.869565217391304	0.196477828951492	0.000903046079287
0.230769230769231	0.860215053763441	0.183237156431092	0.00072625391434
0.285714285714286	0.851063829787234	0.174121132501142	0.00087036059429
0.333333333333333	0.842105263157895	0.172191476509772	0.000905978758836
0.375			0.833333333333333	0.167961089408534	0.000618287422617
0.411764705882353	0.824742268041237	0.166458720083622	0.000757468840693
0.444444444444444	0.816326530612245	0.164335589759762	0.000832520327789
0.473684210526316	0.808080808080808	0.162630310429778	0.00061441655778
0.5			0.8			0.16322203320878	0.001007171889888
0.414012738853503	0.946910682491592	0.172648991183389	0.001090414681158	
0.449871465295630	0.933564415041778	0.168350243928290	0.001723722634078
0.457627118644068	0.912933009316688	0.165441988390445	0.000864679381832
0.463414634146341	0.938770060473190 	0.16777904500114	0.001177396807026
0.460317460317460	0.930272820253224	0.175111227391131	0.002357266522573
0.0			1.			0.426270216672567	0.000300000416231
0.090909090909091	1.			0.269563674850899	6.26256853787655E-05
0.166666666666667	1.			0.244746784248361	6.6435628542483E-05
0.230769230769231	1.			0.231593241008326	7.1158784743768E-05
0.285714285714286	1.			0.223211158422471	6.82258284098189E-05
0.333333333333333	1.			0.217418693713481	8.15453215965239E-05
0.375			1.			0.213217766762092	9.14227305960381E-05
0.411764705882353	1.			0.210410842617908	9.13095653280755E-05
0.444444444444444	1.			0.208022586177783	0.000109125707468
0.473684210526316	1.			0.206561309906946	8.28289282788813E-05
0.5			1.			0.205297694528523	7.10392067396881E-05
